	FLD0194_30_05_2006_2b	FLD0195_13_06_2006_1c	FLD0196_13_06_2006_2c	FLD0197_27_06_2006_1	FLD0198_27_06_2006_2	FLD0199_12_07_2006_1b	FLD0200_12_07_2006_2b	FLD0201_25_07_2006_1	FLD0202_02_08_2006_1b	FLD0203_02_08_2006_2b	FLD0212_15_08_2006_1a	FLD0205_15_08_2006_2a	FLD0206_22_08_2006_1	FLD0207_22_08_2006_2	FLD0208_05_09_2006_1	FLD0209_05_09_2006_2	FLD0210_12_09_2006_1a	FLD0211_12_09_2006_2b	FLD0204_26_09_2006_1b	FLD0213_26_09_2006_2a	FLD0214_10_10_2006_1	FLD0215_16_10_2006_1b	FLD0216_16_10_2006_2b	FLD0217_09_05_2007_1	FLD0218_09_05_2007_2	FLD0235_02_06_2007	FLD0219_06_07_2007_1	FLD0220_06_07_2007_2	FLD0221_02_08_2007_1	FLD0222_02_08_2007_2	FLD0223_22_08_2007_1	FLD0224_22_08_2007_2	FLD0225_05_09_2007_1	FLD0226_05_09_2007_2	FLD0227_19_09_2007_1	FLD0228_19_09_2007_2	FLD0229_26_09_2007_1	FLD0230_26_09_2007_2	FLD0231_10_10_2007_1	FLD0232_22_05_2008_1	FLD0233_01_06_2008_1	FLD0234_01_06_2008	FLD0236_25_06_2008_a	FLD0237_25_06_2008_b	FLD0238_02_07_2008	FLD0239_15_07_2008_1	FLD0240_15_07_2008_2	FLD0241_04_08_2008_4b	FLD0242_04_08_2008_2b	FLD0243_18_08_2008_4d	FLD0244_24_08_2008_2	FLD0245_29_08_2008_1	FLD0246_29_08_2008_2	FLD0248_03_09_2008_2b	FLD0247_08_09_2008_3d	FLD0249_17_09_2008_1d	FLD0250_17_09_2008_3b	FLD0251_07_10_2008_5b	FLD0252_07_10_2008_6b	FLD0253_27_10_2008_1	FLD0254_27_10_2008_2	FLD0255_20_05_2009_1	FLD0256_20_05_2009_2	FLD0257_17_06_2009_1	FLD0258_17_06_2009_2	FLD0259_08_07_2009_1	FLD0260_08_07_2009_2	FLD0261_12_07_2009_1b	FLD0262_12_07_2009_2b	FLD0263_25_07_2009_b	FLD0264_25_07_2009_p2	FLD0265_29_07_2009_1	FLD0266_08_08_2009_p2	FLD0267_22_08_2009_1	FLD0268_22_08_2009_p1	FLD0269_02_09_2009_1	FLD0270_02_09_2009_2	FLD0271_16_09_2009_1	FLD0272_16_09_2009_2	FLD0273_23_09_2009_1	FLD0274_23_09_2009_2	FLD0275_15_10_2009_1	FLD0276_15_10_2009_p2	FLD0277_05_05_2010_1	FLD0278_05_05_2010_2	FLD0279_16_06_2010_1	FLD0280_16_06_2010_2	FLD0281_05_07_2010_1	FLD0282_12_07_2010_1	FLD0283_12_07_2010_2	FLD0284_26_07_2010_1	FLD0285_10_08_2010_1	FLD0286_10_08_2010_2	FLD0289_22_08_2010_1	FLD0290_16_09_2010_1	FLD0291_16_09_2010_2	FLD0292_19_10_2010_1	FLD0293_19_10_2010_2	FLD0294_15_05_2011_1	FLD0295_15_05_2011_1	FLD0297_21_06_2011_1	FLD0298_21_06_2011_2	FLD0299_05_07_2011_1	FLD0300_05_07_2011_2	FLD0301_19_07_2011_1	FLD0302_19_07_2011_2	FLD0303_09_08_2011_1	FLD0304_09_08_2011_2	FLD0305_23_08_2011_1	FLD0306_23_08_2011_2	FLD0307_12_09_2011_1	FLD0308_12_09_2011_2	FLD0309_12_10_2011_1	FLD0310_12_10_2011_2	FLD0311_24_04_2012_1	FLD0312_07_06_2012_1	FLD0313_07_06_2012_2	FLD0314_20_07_2012_1	FLD0315_20_07_2012_2	FLD0316_14_08_2012_1	FLD0317_14_08_2012_2	FLD0318_17_09_2012_1	FLD0319_17_09_2012_2	FLD0320_17_10_2012_1	FLD0321_17_10_2012_2	FLD0323_05_06_2013_1	FLD0324_05_06_2013_2	FLD0325_03_07_2013_1	FLD0326_03_07_2013_2	FLD0327_16_08_2013_1	FLD0328_16_08_2013_2	FLD0329_27_08_2013_1	FLD0330_17_09_2013_1	FLD0331_17_09_2013_2	FLD0332_23_10_2013_1	FLD0333_23_10_2013_2	FLD0334_19_03_2015_p1	FLD0335_19_03_2015_p2	FLD0336_19_03_2015_L1	FLD0337_19_03_2015_L2	FLD0338_30_06_2015_p1	FLD0339_30_06_2015_L2	FLD0340_16_07_2015_p1	FLD0341_16_07_2015_L1	FLD0342_28_07_2015_1	FLD0344_30_07_2015_1	FLD0347_04_08_2015_1	FLD0351_10_08_2015_1	FLD0353_12_08_2015_1	FLD0355_13_08_2015_1	FLD0356_13_08_2015_2	FLD0357_03_09_2015_2	FLD0358_16_09_2015_1	FLD0359_16_09_2015_2	FLD0360_21_10_2015_1	FLD0361_21_10_2015_2	FLD0362_19_07_2016	FLD0363_20_07_2016	FLD0364_25_07_2016	FLD0365_27_07_2016	FLD0366_01_08_2016	FLD0367_09_08_2016	FLD0368_18_08_2016	FLD0369_23_08_2016	FLD0370_03_09_2016	FLD0371_15_09_2016	FLD0372_22_09_2016	FLD0373_25_10_2016
ASV_1	157	13826	13195	1354	2265	2530	4848	263	471	839	340	104	530	606	525	455	310	652	0	576	0	233	245	9	18	1080	590	1224	1142	1912	242	421	76	66	185	252	112	99	147	95	521	707	6068	5284	2350	5211	6390	57	1186	924	1500	628	509	2298	0	3302	2641	118	397	1383	435	1470	257	7705	4785	13988	11170	19745	19284	203	269	4018	3805	876	539	137	458	45	177	184	399	430	437	62	64	7261	6689	1745	961	788	3920	2427	890	508	1077	584	1494	1493	86	79	7375	14666	7712	11302	7509	1734	2390	3128	3996	3425	10322	9214	14941	15068	662	3931	4232	1209	466	2442	1157	2311	3142	16169	12868	33845	14599	15200	22118	7341	5446	2761	3508	10209	15236	14261	72	10	0	0	9383	4473	15153	19069	22541	12020	19405	12331	27038	27381	20163	737	1267	2863	5115	3061	6529	6999	4460	4327	5426	4286	998	1701	5097	1711	171	4834
ASV_2	43	115	132	71	106	41	60	6	33	117	13332	86	3171	3090	13091	19770	15597	17911	4	20910	96	1450	2334	13	30	1225	10	14	221	214	19119	15061	21031	14132	8754	12030	22593	18756	9440	666	1711	2480	426	1133	884	1061	1233	57	2663	786	3778	13043	10560	3198	10	13943	12776	848	4267	2609	749	2270	942	600	339	801	533	377	265	66	20	2997	69	146	908	2235	4226	4786	8418	4527	8521	11515	10614	315	375	542	505	81	202	161	2542	2412	1932	474	365	585	179	183	43	53	19	28	150	100	75	60	2106	1560	2994	3602	1515	1891	450	348	198	242	203	3356	6827	16366	17614	11205	8873	8325	5877	930	662	267	388	372	1395	244	2083	2031	2107	1320	0	0	0	0	145	40	44	76	31	22	41	41	253	193	50	32	95	209	2742	640	88	82	256	377	2777	2805	8746	13688	3958	698	123	175
ASV_3	0	0	0	0	0	8	10	7	190	491	144	34	89	87	225	244	410	180	0	145	19	43	22	0	0	120	736	705	1529	1734	1026	1264	2150	2206	1196	1251	3794	3464	3443	71	152	156	1303	1349	11603	7566	8532	138	2111	2294	2642	142	103	3450	7	4013	2933	927	2599	1534	336	148	40	51	102	466	611	1136	553	217	129	1308	2595	7314	3577	14569	22839	4632	12612	8141	2917	5770	9340	28	33	150	167	1333	3430	9267	34225	19105	14892	5791	1157	2153	122	146	35	27	164	232	3926	2479	24307	32288	5214	4020	2565	4431	1011	2733	1998	2742	43	127	197	2522	3977	4237	5101	1007	577	168	117	59	0	0	52	2170	2290	3018	1513	5763	191	238	13	0	0	0	78	54	66	0	43	0	0	45	71	135	47	155	2521	2158	571	158	81	125	98	61	279	264	1382	1202	201	415	95	0
ASV_4	22	65	58	35	20	41	45	27	23786	28123	681	1214	4918	3916	5338	5978	8387	9236	0	1076	176	998	1215	0	0	21	26	104	24	106	87	115	143	187	46	81	217	281	265	11	16	44	23	24	84	1420	2546	1328	5112	2641	6750	2786	2271	3290	0	1625	1550	1090	2641	89	15	75	19	78	43	89	95	243	149	24806	12441	1793	19539	7615	8051	3286	6846	641	1468	694	525	559	351	11	13	276	286	398	3067	3919	9280	1115	652	535	264	340	77	40	0	0	6	0	54	56	78	41	411	382	2921	5286	256	1312	101	306	74	33	58	5547	841	1838	1195	1305	783	138	107	30	0	19	16	641	283	127	102	279	57	31	0	7	0	0	13	0	18	11	38	126	14023	6632	8425	8257	6904	1964	6801	6767	5113	2230	909	1377	684	886	1226	978	3170	1643	654	2612	362	372
ASV_5	107	385	263	37	51	76	139	9	105	215	2192	48	3726	3772	3991	4943	1739	2637	0	3263	75	1546	1776	0	0	1445	540	738	3870	3076	8922	9620	2586	960	10447	13144	3347	2955	3335	341	1253	1524	5858	4988	2798	4751	5606	308	8251	3143	11412	7528	6347	9198	0	13011	11143	1084	3261	1673	543	3112	757	1692	869	4828	3354	3694	2981	465	249	15559	648	2213	879	294	903	207	551	730	1068	806	731	82	25	105	128	658	3154	827	4399	1961	543	368	199	112	58	47	0	35	11	29	27	13	72	27	6382	4981	8809	5836	6634	6952	1759	1569	222	422	350	1089	517	1689	954	1721	1287	950	687	107	41	112	160	80	75	52	315	456	163	79	0	0	0	0	54	26	44	43	13	0	31	0	99	93	34	0	51	23	162	38	501	639	1009	1679	4572	6559	9243	12529	5259	5507	553	1125
ASV_6	0	0	0	0	0	64	64	0	68	98	175	0	60	108	110	99	105	75	0	184	0	234	153	0	0	138	19	0	104	122	156	185	133	89	535	839	212	180	397	8	104	232	53	30	46	172	267	0	118	93	125	147	80	187	9	809	590	10	25	25036	7558	2223	589	707	390	6221	3593	4902	4817	548	246	254	1143	647	476	119	278	93	196	369	697	557	833	66	34	219	211	60	41	23	140	176	100	389	12223	10260	17255	13199	20	94	14	123	1073	717	2927	761	1203	1636	2326	1655	4823	4849	6496	5808	274	1011	979	580	202	789	349	704	653	1894	1161	273	86	191	159	1752	801	723	1365	3285	3324	2634	88	83	21	0	1496	1079	4123	3410	4782	2473	5530	2716	6558	4211	3638	557	562	688	2516	735	9112	9579	6273	5990	6478	6334	2509	2096	5983	4263	289	1111
ASV_7	0	66	66	23	39	46	23	0	46	38	291	20	258	334	2673	3150	2782	3092	0	477	21	191	254	3	0	170	0	21	47	85	3126	2974	2977	2920	670	862	2856	3753	1679	95	95	161	39	195	107	132	143	9	172	173	257	2042	1602	1292	0	4113	3934	633	2039	236	69	128	49	140	90	90	96	92	76	21	8	106	69	988	22655	9127	14096	2240	5279	10109	5603	5383	4075	73	41	441	568	277	118	333	763	11244	9107	3701	515	590	94	83	7	4	0	25	127	155	78	38	9015	4244	17768	15495	1326	4270	367	511	110	201	225	5145	11504	8088	9353	2350	1548	278	168	99	241	108	272	140	573	200	775	276	419	266	0	0	20	0	53	23	49	54	105	29	107	84	318	239	133	33	141	110	73	55	46	30	25	38	80	309	352	289	149	26	15	25
ASV_8	0	0	7	7	0	3	11	0	13	17	8	4	85	56	116	118	89	61	0	13	0	10	0	0	0	79	63	1697	4182	4092	1771	2896	5843	5143	2348	3345	4214	7560	801	10	39	129	389	1940	2135	799	976	35	1877	837	2410	109	98	603	0	824	631	157	613	13	2	68	10	15	16	42	42	419	914	94	41	4495	1451	7964	13489	2508	5255	1572	3283	1713	2306	1107	649	15	2	31	19	5707	25651	5211	4473	1483	1330	189	49	88	71	63	5	4	0	0	7	18	40	32	3917	2545	399	243	43	93	12	13	31	4	12	4689	6201	169	285	32	29	16	0	8	0	124	77	51	716	51	198	341	18	20	0	10	0	0	188	102	1466	949	126	509	682	764	1724	895	1842	126	157	581	355	71	9350	11175	11094	14648	10638	3846	1212	686	9716	19	5	53
ASV_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	0	148	125	157	0	112	549	210	0	0	127	0	0	44	0	37	135	35	85	40	0	0	609	197	203	196	0	23	538	111	1367	1174	192	385	27	21	36	48	38	37	21	12	36	0	9	37	0	126	34	7	178	9	10	0	0	0	0	0	0	0	9	158	56	41	29	0	14	41	12	3680	3745	142	59	54	2873	1176	630	346	152	105	116	75	95	31	29	22	404	260	136	141	190	44	51	0	0	0	0	40952	41168	17759	18538	7728	2636	6509	1595	5376	4322	3002	196	293	141	229	58	1902	2102	1375	1974	1427	476	143	156	1180	85	54	178
ASV_10	112	7141	7118	782	1614	1307	2358	85	297	390	187	0	237	262	224	197	137	334	0	296	0	137	117	0	0	468	360	769	746	1301	165	322	0	0	116	164	38	44	48	0	271	456	3036	2543	1189	2258	2937	0	468	335	621	229	235	938	0	1237	949	50	132	539	158	821	133	3803	2118	6607	5235	8226	7739	104	95	1502	1534	340	196	53	166	0	56	62	116	119	146	0	0	2787	2679	618	389	370	1568	753	217	153	292	232	285	315	37	32	1607	3775	1724	2478	1438	355	454	521	564	461	761	786	494	637	37	769	747	220	79	511	212	256	303	279	179	3700	1852	1972	2813	849	827	302	313	688	252	162	0	0	0	0	884	554	1246	1714	1969	1086	1634	1349	2891	2821	2134	102	180	322	645	385	2015	2115	1264	1289	1665	1221	335	456	1542	485	0	592
