"","10.10.2006.1","16.10.2006.2b","13.06.2006.1c","13.06.2006.2c","27.06.2006.1","27.06.2006.2","12.07.2006.1b","25.07.2006.1","02.08.2006.1b","02.08.2006.2b","15.08.2006.2a","22.08.2006.1","22.08.2006.2","05.09.2006.2","12.09.2006.2b","26.09.2006.1b","10.10.2007.1","09.05.2007.1","09.05.2007.2","06.07.2007.1","06.07.2007.2","02.08.2007.1","02.08.2007.2","22.08.2007.1","22.08.2007.2","05.09.2007.1","05.09.2007.2","19.09.2007.1","19.09.2007.2","26.09.2007.2","07.10.2008.5b","07.10.2008.6b","27.10.2008.1","27.10.2008.2","22.05.2008.1","01.06.2008.1","25.06.2008.a","25.06.2008.b","15.07.2008.2","04.08.2008.4b","04.08.2008.2b","18.08.2008.4d","29.08.2008.1","03.09.2008.2b","17.09.2008.1d","17.09.2008.3b","15.10.2009.1","15.10.2009.p2","20.05.2009.1","20.05.2009.2","08.07.2009.1","08.07.2009.2","12.07.2009.2b","25.07.2009.b","25.07.2009.p2","08.08.2009.p2","22.08.2009.1","22.08.2009.p1","02.09.2009.1","02.09.2009.2","16.09.2009.1","16.09.2009.2","23.09.2009.1","23.09.2009.2","19.10.2010.1","19.10.2010.2","05.05.2010.1","05.05.2010.2","16.06.2010.1","16.06.2010.2","05.07.2010.1","12.07.2010.1","12.07.2010.2","26.07.2010.1","10.08.2010.1","10.08.2010.2","22.08.2010.1","16.09.2010.1","16.09.2010.2","12.10.2011.1","12.10.2011.2","15.05.2011.1","21.06.2011.1","05.07.2011.1","05.07.2011.2","19.07.2011.1","19.07.2011.2","09.08.2011.1","09.08.2011.2","23.08.2011.1","23.08.2011.2","12.09.2011.1","12.09.2011.2","17.10.2012.1","17.10.2012.2","24.04.2012.1","07.06.2012.1","07.06.2012.2","20.07.2012.1","20.07.2012.2","14.08.2012.1","14.08.2012.2","17.09.2012.2","23.10.2013.1","23.10.2013.2","05.06.2013.1","05.06.2013.2","03.07.2013.1","03.07.2013.2","16.08.2013.1","27.08.2013.1","17.09.2013.1","17.09.2013.2"
"ASV_322",72,21,146,93,137,212,16,0,0,0,17,79,97,19,0,0,65,115,280,9,20,0,0,0,0,10,7,16,7,20,14,0,7,20,9,0,0,0,0,0,4,19,49,0,0,0,21,40,86,55,10,14,58,0,8,20,0,0,0,0,0,0,0,0,69,31,145,129,10,9,18,0,0,0,0,0,0,0,0,71,53,130,18,18,0,0,0,0,0,0,0,47,25,73,11,79,17,24,0,0,0,0,0,18,18,14,16,10,26,0,0,0,0
"ASV_323",36,0,220,68,34,0,0,0,19,52,0,0,0,0,0,42,0,0,0,21,35,0,18,22,0,34,22,135,45,0,19,16,0,45,0,40,795,733,0,0,18,68,0,0,0,0,28,146,0,49,0,24,0,0,0,5,0,11,0,0,33,13,47,0,0,11,0,0,0,0,0,55,0,0,0,0,0,0,25,22,0,0,0,0,0,0,0,0,0,0,22,35,18,23,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_324",0,0,0,0,0,0,0,22,55,254,31,19,36,0,5,8,0,0,0,6,5,235,377,4,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,18,76,7,15,0,4,10,0,0,0,0,0,0,0,0,0,102,0,23,8,0,5,0,0,0,0,0,0,0,0,0,4,42,110,0,8,5,51,0,0,0,0,0,0,0,0,0,5,10,10,0,3,12,20,0,0,0,2,0,1049,193,0,28,0,0,0,0,0,0,4,34,0,0,0
"ASV_325",0,0,0,0,0,0,0,0,66,455,20,32,67,43,0,14,53,0,0,0,0,41,69,36,31,112,54,41,35,28,101,70,0,0,0,0,0,0,0,0,38,307,28,92,52,27,0,0,0,0,0,0,0,0,0,51,23,134,40,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,31,19,90,86,40,55,0,0,0,0,0,49,0,35,209,0,0,0,0,0,0,0,73,16,12,15
"ASV_326",27,12,197,84,0,0,0,0,0,55,0,0,0,0,0,48,0,0,0,24,22,0,0,13,0,51,13,123,26,0,19,0,19,76,0,18,799,864,0,0,0,41,0,22,8,19,48,152,0,33,10,26,11,0,0,0,0,0,0,0,51,0,33,32,0,0,0,0,0,0,0,26,0,0,6,0,0,0,17,0,0,0,0,14,0,0,0,0,0,0,0,35,0,16,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_327",0,0,0,0,0,0,0,0,8,19,22,11,21,54,0,21,48,0,0,0,0,28,47,94,70,31,34,38,40,0,167,101,0,0,0,0,0,0,0,0,27,42,0,76,121,105,0,0,0,38,0,12,20,0,0,164,12,108,13,20,11,10,12,25,0,0,0,0,0,0,0,27,41,14,23,77,0,0,0,34,14,0,88,234,18,82,110,7,0,43,33,26,38,0,0,0,0,0,46,0,0,18,21,0,0,0,0,34,55,97,23,12,0
"ASV_328",6,0,0,0,0,0,0,0,5,28,36,0,8,36,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,14,0,2,0,0,0,0,3,8,16,78,2,22,81,18,0,0,0,0,0,45,9,33,161,106,4,10,8,8,0,0,0,0,0,0,0,0,0,0,0,7,0,161,0,14,0,0,0,0,43,0,0,11,0,0,0,68,45,110,214,26,61,0,0,0,8,4,864,204,33,210,35,0,0,0,0,0,4,8,8,85,21
"ASV_329",0,0,24,0,22,20,10,0,70,141,0,0,0,0,0,0,8,6,17,54,40,35,34,10,32,74,137,28,16,14,60,55,0,0,53,0,14,97,0,0,0,0,0,20,194,169,0,0,55,0,0,0,15,2,0,0,0,21,8,14,0,0,0,0,0,0,55,91,0,0,0,75,47,0,17,18,19,0,0,0,0,0,11,243,0,0,23,0,0,62,19,219,381,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,29,13,0,0
"ASV_330",15,46,0,0,9,12,30,0,4,24,24,8,28,73,6,9,11,0,0,34,62,5,0,11,26,75,19,35,28,29,18,20,41,19,0,0,11,135,4,0,4,43,25,20,191,202,12,16,0,146,0,47,70,0,0,98,0,2,0,0,0,0,5,14,25,53,0,0,9,17,2,0,4,0,43,111,4,16,26,51,27,0,0,13,0,9,9,0,0,48,26,9,13,66,20,0,55,92,0,2,0,13,6,63,50,15,19,12,18,5,2,3,10
"ASV_331",0,0,0,0,0,0,0,0,67,225,205,70,178,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,42,33,0,0,0,0,0,0,32,0,0,53,0,0,71,49,0,0,0,0,38,0,0,0,0,0,0,63,141,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,77,38,0,0,0,0,149,308,0,0,20,0,40,40,0,0,0,32,49,142,57,0,56,69,0,0,0,0,0,0,0,118,0,0
"ASV_332",47,0,0,0,0,0,0,39,0,0,0,0,0,0,0,131,20,0,0,140,127,73,100,35,62,136,57,405,303,60,67,92,0,0,0,0,0,0,13,0,0,0,0,48,41,0,17,0,0,0,48,0,0,0,0,0,0,11,0,0,20,0,0,0,0,0,0,22,0,0,45,14,19,13,0,0,68,0,0,41,0,0,0,0,0,0,0,0,0,0,0,18,29,0,0,0,0,0,19,59,0,0,0,0,0,0,0,30,185,0,0,29,21
"ASV_333",28,10,0,0,0,0,0,0,0,118,0,39,117,43,0,0,40,0,0,34,20,93,89,0,0,102,50,57,34,23,33,29,9,0,0,0,0,0,12,0,24,97,25,40,182,84,8,13,0,98,0,64,99,0,43,118,0,50,70,0,37,32,36,34,0,0,0,0,0,0,0,165,90,0,33,33,0,0,37,14,12,0,0,0,0,0,0,0,0,0,0,17,18,12,8,0,0,0,0,97,0,62,0,0,8,0,0,0,13,0,0,0,0
