"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure","Année","Mois","Jour","Qualité des Données","Temp max.(°C)","Temp max. Indicateur","Temp min.(°C)","Temp min. Indicateur","Temp moy.(°C)","Temp moy. Indicateur","DJC (°C)","DJC Indicateur","DJR (°C)","DJR Indicateur","Pluie tot. (mm)","Pluie tot. Indicateur","Neige tot. (cm)","Neige tot. Indicateur","Précip. tot. (mm)","Précip. tot. Indicateur","Neige au sol (cm)","Neige au sol Indicateur","Dir. raf. max. (10s deg)","Dir. raf. max. Indicateur","Vit. raf. max. (km/h)","Vit. raf. max. Indicateur"
"-72,85","45,03","FRELIGHSBURG","7022579","2007-01-01","2007","01","01","","6,2","","-0,4","","2,9","","15,1","","0,0","","","M","","M","10,0","","","","16","","43",""
"-72,85","45,03","FRELIGHSBURG","7022579","2007-01-02","2007","01","02","","4,7","","-4,5","","0,1","","17,9","","0,0","","","M","","M","0,0","","","","28","","46",""
"-72,85","45,03","FRELIGHSBURG","7022579","2007-01-03","2007","01","03","","5,7","","-1,3","","2,2","","15,8","","0,0","","","M","","M","0,0","","","","18","","33",""
"-72,85","45,03","FRELIGHSBURG","7022579","2007-01-04","2007","01","04","","9,8","","3,1","","6,5","","11,5","","0,0","","","M","","M","1,0","","","","18","","37",""
"-72,85","45,03","FRELIGHSBURG","7022579","2007-01-05","2007","01","05","","12,8","","5,5","","9,2","","8,8","","0,0","","","M","","M","5,4","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2007-01-06","2007","01","06","","14,0","","3,7","","8,9","","9,1","","0,0","","","M","","M","18,5","","","","23","","56",""
"-72,85","45,03","FRELIGHSBURG","7022579","2007-01-07","2007","01","07","","4,1","","0,3","","2,2","","15,8","","0,0","","","M","","M","1,4","","","","30","","48",""
"-72,85","45,03","FRELIGHSBURG","7022579","2007-01-08","2007","01","08","","6,0","","1,0","","3,5","","14,5","","0,0","","","M","","M","8,6","","","","25","","50",""
"-72,85","45,03","FRELIGHSBURG","7022579","2007-01-09","2007","01","09","","1,5","","-4,1","","-1,3","","19,3","","0,0","","","M","","M","0,0","","","","28","","44",""
"-72,85","45,03","FRELIGHSBURG","7022579","2007-01-10","2007","01","10","","-4,1","","-14,2","","-9,2","","27,2","","0,0","","","M","","M","1,4","","","","30","","43",""
"-72,85","45,03","FRELIGHSBURG","7022579","2007-01-11","2007","01","11","","1,0","","-15,9","","-7,5","","25,5","","0,0","","","M","","M","0,0","","","","17","","43",""
"-72,85","45,03","FRELIGHSBURG","7022579","2007-01-12","2007","01","12","","4,5","","0,8","","2,7","","15,3","","0,0","","","M","","M","1,2","","","","16","","33",""
"-72,85","45,03","FRELIGHSBURG","7022579","2007-01-13","2007","01","13","","4,2","","-11,3","","-3,6","","21,6","","0,0","","","M","","M","2,0","","","","3","","39",""
"-72,85","45,03","FRELIGHSBURG","7022579","2007-01-14","2007","01","14","","-5,1","","-11,0","","-8,1","","26,1","","0,0","","","M","","M","0,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2007-01-15","2007","01","15","","-3,4","","-10,2","","-6,8","","24,8","","0,0","","","M","","M","21,7","","","","","","<31",""
