"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure","Année","Mois","Jour","Qualité des Données","Temp max.(°C)","Temp max. Indicateur","Temp min.(°C)","Temp min. Indicateur","Temp moy.(°C)","Temp moy. Indicateur","DJC (°C)","DJC Indicateur","DJR (°C)","DJR Indicateur","Pluie tot. (mm)","Pluie tot. Indicateur","Neige tot. (cm)","Neige tot. Indicateur","Précip. tot. (mm)","Précip. tot. Indicateur","Neige au sol (cm)","Neige au sol Indicateur","Dir. raf. max. (10s deg)","Dir. raf. max. Indicateur","Vit. raf. max. (km/h)","Vit. raf. max. Indicateur"
"-72,85","45,03","FRELIGHSBURG","7022579","2009-01-01","2009","01","01","","-16,2","","-20,9","","-18,6","","36,6","","0,0","","","M","","M","0,0","","","","30","","35",""
"-72,85","45,03","FRELIGHSBURG","7022579","2009-01-02","2009","01","02","","-6,2","","-20,7","","-13,5","","31,5","","0,0","","","M","","M","1,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2009-01-03","2009","01","03","","-8,8","","-12,4","","-10,6","","28,6","","0,0","","","M","","M","1,0","","","","25","","46",""
"-72,85","45,03","FRELIGHSBURG","7022579","2009-01-04","2009","01","04","","-7,6","","-13,4","","-10,5","","28,5","","0,0","","","M","","M","0,0","","","","25","","32",""
"-72,85","45,03","FRELIGHSBURG","7022579","2009-01-05","2009","01","05","","-2,2","","-8,5","","-5,4","","23,4","","0,0","","","M","","M","1,3","","","","28","","32",""
"-72,85","45,03","FRELIGHSBURG","7022579","2009-01-06","2009","01","06","","-3,1","","-11,6","","-7,4","","25,4","","0,0","","","M","","M","0,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2009-01-07","2009","01","07","","-0,1","","-6,1","","-3,1","","21,1","","0,0","","","M","","M","12,8","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2009-01-08","2009","01","08","","-1,4","","-12,7","","-7,1","","25,1","","0,0","","","M","","M","6,1","","","","28","","46",""
"-72,85","45,03","FRELIGHSBURG","7022579","2009-01-09","2009","01","09","","-12,7","","-18,0","","-15,4","","33,4","","0,0","","","M","","M","0,0","","","","27","","35",""
"-72,85","45,03","FRELIGHSBURG","7022579","2009-01-10","2009","01","10","","-11,8","","-22,2","","-17,0","","35,0","","0,0","","","M","","M","0,0","","","","","","<31",""
