"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure","Année","Mois","Jour","Qualité des Données","Temp max.(°C)","Temp max. Indicateur","Temp min.(°C)","Temp min. Indicateur","Temp moy.(°C)","Temp moy. Indicateur","DJC (°C)","DJC Indicateur","DJR (°C)","DJR Indicateur","Pluie tot. (mm)","Pluie tot. Indicateur","Neige tot. (cm)","Neige tot. Indicateur","Précip. tot. (mm)","Précip. tot. Indicateur","Neige au sol (cm)","Neige au sol Indicateur","Dir. raf. max. (10s deg)","Dir. raf. max. Indicateur","Vit. raf. max. (km/h)","Vit. raf. max. Indicateur"
"-72,85","45,03","FRELIGHSBURG","7022579","2010-01-01","2010","01","01","","-0,3","","-3,5","","-1,9","","19,9","","0,0","","","M","","M","5,6","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2010-01-02","2010","01","02","","-2,6","","-13,2","","-7,9","","25,9","","0,0","","","M","","M","7,2","","","","27","","41",""
"-72,85","45,03","FRELIGHSBURG","7022579","2010-01-03","2010","01","03","","-6,7","","-14,1","","-10,4","","28,4","","0,0","","","M","","M","17,4","","","","29","","43",""
"-72,85","45,03","FRELIGHSBURG","7022579","2010-01-04","2010","01","04","","-6,8","","-9,6","","-8,2","","26,2","","0,0","","","M","","M","1,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2010-01-05","2010","01","05","","-6,6","","-9,2","","-7,9","","25,9","","0,0","","","M","","M","3,4","","","","","M","","M"
"-72,85","45,03","FRELIGHSBURG","7022579","2010-01-06","2010","01","06","","-6,2","","-7,9","","-7,1","","25,1","","0,0","","","M","","M","2,6","","","","","M","","M"
"-72,85","45,03","FRELIGHSBURG","7022579","2010-01-07","2010","01","07","","-7,3","","-8,7","","-8,0","","26,0","","0,0","","","M","","M","2,4","","","","","M","","M"
"-72,85","45,03","FRELIGHSBURG","7022579","2010-01-08","2010","01","08","","-8,4","","-10,0","","-9,2","","27,2","","0,0","","","M","","M","1,0","","","","","M","","M"
"-72,85","45,03","FRELIGHSBURG","7022579","2010-01-09","2010","01","09","","-10,0","","-23,1","","-16,6","","34,6","","0,0","","","M","","M","0,0","","","","","M","","M"
"-72,85","45,03","FRELIGHSBURG","7022579","2010-01-10","2010","01","10","","-7,2","","-25,2","","-16,2","","34,2","","0,0","","","M","","M","0,0","","","","","M","","M"
"-72,85","45,03","FRELIGHSBURG","7022579","2010-01-11","2010","01","11","","-3,7","","-7,5","","-5,6","","23,6","","0,0","","","M","","M","1,2","","","","","M","","M"
"-72,85","45,03","FRELIGHSBURG","7022579","2010-01-12","2010","01","12","","-7,0","","-17,2","","-12,1","","30,1","","0,0","","","M","","M","0,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2010-01-13","2010","01","13","","-7,6","","-21,9","","-14,8","","32,8","","0,0","","","M","","M","0,0","","","","","M","","M"
"-72,85","45,03","FRELIGHSBURG","7022579","2010-01-14","2010","01","14","","1,6","","-8,3","","-3,4","","21,4","","0,0","","","M","","M","1,4","","","","","M","","M"
"-72,85","45,03","FRELIGHSBURG","7022579","2010-01-15","2010","01","15","","2,1","","0,6","","1,4","","16,6","","0,0","","","M","","M","0,0","","","","","M","","M"
"-72,85","45,03","FRELIGHSBURG","7022579","2010-01-16","2010","01","16","","1,6","","-0,2","","0,7","","17,3","","0,0","","","M","","M","0,0","","","","","M","","M"
"-72,85","45,03","FRELIGHSBURG","7022579","2010-01-17","2010","01","17","","4,4","","-1,3","","1,6","","16,4","","0,0","","","M","","M","0,0","","","","","M","","M"
"-72,85","45,03","FRELIGHSBURG","7022579","2010-01-18","2010","01","18","","2,8","","-3,3","","-0,3","","18,3","","0,0","","","M","","M","1,2","","","","","M","","M"
