"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure","Année","Mois","Jour","Qualité des Données","Temp max.(°C)","Temp max. Indicateur","Temp min.(°C)","Temp min. Indicateur","Temp moy.(°C)","Temp moy. Indicateur","DJC (°C)","DJC Indicateur","DJR (°C)","DJR Indicateur","Pluie tot. (mm)","Pluie tot. Indicateur","Neige tot. (cm)","Neige tot. Indicateur","Précip. tot. (mm)","Précip. tot. Indicateur","Neige au sol (cm)","Neige au sol Indicateur","Dir. raf. max. (10s deg)","Dir. raf. max. Indicateur","Vit. raf. max. (km/h)","Vit. raf. max. Indicateur"
"-72,85","45,03","FRELIGHSBURG","7022579","2012-01-01","2012","01","01","","6,8","","-2,9","","2,0","","16,0","","0,0","","","M","","M","1,0","","","","18","","46",""
"-72,85","45,03","FRELIGHSBURG","7022579","2012-01-02","2012","01","02","","5,2","","-8,4","","-1,6","","19,6","","0,0","","","M","","M","0,0","","","","23","","48",""
"-72,85","45,03","FRELIGHSBURG","7022579","2012-01-03","2012","01","03","","-8,4","","-18,0","","-13,2","","31,2","","0,0","","","M","","M","0,0","","","","28","","32",""
"-72,85","45,03","FRELIGHSBURG","7022579","2012-01-04","2012","01","04","","-7,0","","-18,9","","-13,0","","31,0","","0,0","","","M","","M","0,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2012-01-05","2012","01","05","","-4,2","","-12,7","","-8,5","","26,5","","0,0","","","M","","M","3,2","","","","26","","33",""
"-72,85","45,03","FRELIGHSBURG","7022579","2012-01-06","2012","01","06","","2,3","","-12,1","","-4,9","","22,9","","0,0","","","M","","M","1,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2012-01-07","2012","01","07","","4,1","","-2,8","","0,7","","17,3","","0,0","","","M","","M","4,0","","","","27","","37",""
"-72,85","45,03","FRELIGHSBURG","7022579","2012-01-08","2012","01","08","","0,0","","-13,5","","-6,8","","24,8","","0,0","","","M","","M","0,0","","","","26","","41",""
"-72,85","45,03","FRELIGHSBURG","7022579","2012-01-09","2012","01","09","","1,3","","-14,7","","-6,7","","24,7","","0,0","","","M","","M","1,0","","","","16","","37",""
"-72,85","45,03","FRELIGHSBURG","7022579","2012-01-10","2012","01","10","","1,9","","-11,7","","-4,9","","22,9","","0,0","","","M","","M","1,0","","","","18","","37",""
"-72,85","45,03","FRELIGHSBURG","7022579","2012-01-11","2012","01","11","","-6,6","","-16,9","","-11,8","","29,8","","0,0","","","M","","M","0,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2012-01-12","2012","01","12","","1,2","","-11,1","","-5,0","","23,0","","0,0","","","M","","M","4,0","","","","14","","35",""
